《机械设计基础》这本书的作者是谁？	杨可桢，程光蕴，李仲生	其他
倩女幽魂由谁制片？	温嘉文 钟珍 叶百全 周国忠	人物
dutch如何发音？	kk: [dʌtʃ]	单位
摩托罗拉zante 有多重？	150 克	单位
地缚神的复活的卡片种类是？	64187086	数字
车太铉的原文名怎么写？	차태현	人物
博略属于哪个政府？	jean-pierre ballé	单位
辛集镇使用什么方言？	河南话	字词
首尔sk骑士是谁的主场？	首尔	外国行政区划
雧的郑码是多少？	ninf，u：96e7，gbk：eb7d	单位
蓪总共有多少笔画？	17	数字
广州恒大淘宝足球俱乐部的主教练叫什么？	卡纳瓦罗	人物
元素英雄神·新宇侠的卡片密码是多少？	31111109	数字
第3次吉田内阁的罗马字怎么写？	daisanji yoshida dainiji kaizō naikaku	单位
零口站的邮编是多少？	710607	数字
陀螺戰士何时播出？	2001年1月8日－2001年12月24日 2002年3月28日 - 2002年10月1日	日期
迪·布朗的职业生涯如何？	伊利诺伊大学	组织机构
天宁寺什么时候建造的？	后周文顺二年（952年	日期
大手町站的车站编号是多少？	m 18	单位
hp pavilion dv2304tx的显示屏是什么尺寸的？	intel	英文名
林肯县统计了哪些资料？	february 20, 1796	中国历史人物
美丽中国古老长城属于哪个部门负责？	国家旅游局	组织机构
维纳斯和阿多尼斯何时创作的？	约1847年	日期
thinkpad x61s 7666ku1使用哪种芯片组？	intel gm965+ich8-m	单位
上海市建筑市场管理条例什么时候实施的？	2014年10月1日	日期
美淘家属于什么行业？	家居	书籍
凯尔·科沃尔通过哪个nba选秀？	2003年第二轮第22位被76人队选中	日期
王海是什么军衔？	空军上将	人物
上海绅公馆属于什么星级水平？	五星级	地点
花都兵王有多少字？	285639	数字
宋勇属于哪个党派？	中国共产党	人物
hp pro 3000 mt vk190av使用什么cpu型号？	int el 奔腾双核 e6600	文学作品
buzzsaw的资费提示如何？	免费	词语
马克思主义民族理论与政策专业硕士研究生点有哪些学校？	内蒙古自治区 (10126)内蒙古大学	地点
htc one有哪个商家生产？	htc	英文名
香港的地标建筑有？	天坛大佛	地点
mobb deep的相关团体有哪些？	infamous mobb, wu-tang clan	单位
在哪些地区流行过三月三？	广西	行政区划
欧达hdv-z68的有效像素是多少万？	500万	单位
请问排毒美肌足疗馆的装修风格是什么？	平装	书籍
请问诺基亚asha 200 的外观是什么样的？	和诺基亚asha 2010	历史
请问2-氧代-1,5-戊二酸的中文别名是什么？	2-氧代戊二酸;	化工产品
请问重庆亿新建筑工程有限公司的基础是什么？	建筑安装工程	书籍
请问王军的学历是什么？	教授	人物
请问布拉德利在场上的职位是什么啊?	教练	人物
请问开发必应这个软件的公司是什么？	微软公司	公司
请问《远大前程》的主要演员是谁？	是安	人物
请问韩晓的属相是什么？	狗	动物
请问女皇的代表是谁？	武则天	中国历史人物
请问宋慧乔喜欢做什么？	游泳	人物
请问铔的四角代码是什么？	81712	数字
请问孝慈高皇后的名字是什么？	不详	字词
请问海南虎斑鳽用中文拼音怎么拼？	hǎi nán hǔ bān yan	单位
请问艾奇视频电子相册制作软件的软件授权是什么？	共享软件	软件
请问koyo 45236轴承的内径是多少？	180mm	单位
请问文明5的运行环境是什么？	winxp/winvista/windows7/8[1]	单位
请问动态城堡有多高？	420米	单位
请问烟火是由谁作词作曲？	李子恒	人物
请问2-氰基-2-甲基丙酸乙酯的cas值是什么？	1572-98-1	日期
请问kill的反义词是什么？	save  spare	单位
请问与祖逖智退桃豹兵有关的人物是谁？	祖逖	将领
请问香港信贷的上市代码是多少？	1273	数字
请问许志安的婚姻现状是什么？	已婚	小说
请问中国长江三峡集团公司的董事长是谁？	卢纯	人物
请问越南战争发生的日期是？	1955年11月1日[1]–1975年4月30日 (19年5月4周又1天)	日期
请问《远大前程》是在哪里发行的？	大陆	电影
请问熊猫看书适用于哪种手机？	m8	单位
请问海王星有多重？	1.0247e26千克	单位
请问koyo 32fc23170轴承的外径是多少？	230mm	单位
请问铔的unicode名称是？	cjk	英文名
请问黄真伊在台湾又称为什么？	黄真伊 一代名伎黄真伊	电视剧
请问魏国的首都在哪里？	安邑	地点
请问梅江流域的面积有多大？	13929平方公里	单位
请问《忘忧草》的作词者是谁啊？	陈没	音乐人物
请问下高吉2011年的人口有多少？	99	数字
请问守望者又被其他地方翻译为什么？	青春夜行	电影
请问厉以宁获得了什么荣誉？	福冈亚洲文化奖	奖项
请问极品卧底这本小说的书号是多少啊？	335327	数字
请问内2优111的品种名称是什么？	内2优111	农作物
请问白泥井村的降水量为多少啊？	年降水量1100 毫米	字词
请问盎格鲁人是哪个国家的人？	丹麦	外国行政区划
请问堀田站属于哪个铁道？	名古屋铁道	交通线路
请问魏武侯谋事的主角是谁？	魏武侯	人物
请问民主党是在什么时候建立的？	1828年（现代） 1792年（历史）	日期
请问新和村的常住人口有多少？	722	数字
请问蓟县西龙虎峪乡卫生院是哪年建立的？	1970	数字
请问后宫甄嬛传可以在哪里播出？	台湾	书籍
请问陌生人是在哪年出品的？	2005年	日期
请问北影gt240 阿波罗 tc1g的核心频率是多少啊？	550mhz	单位
请问病毒i-worm/dumaru.b的长度为？	33k	单位
请问天盛（m60）主要出产的作物是哪种？	西甜瓜	语言
请问中国石油天然气第七建设公司是什么类型的企业？	建筑施工企业	公司
请问西安交通大学软件学院的院长是谁？	王飞跃	人物
请问三星galaxy mega 5.8（i9158/移动版）的电池容量是多少？	2600mah	单位
请问半岛铁盒z5的二级缓存为多少？	256mb	单位
请问《忘忧草》的作曲者是谁？	宇德敬子	人物
请问恶作剧之吻是哪个国家制作的？	韩国	地点
请问继发性肝癌的发病部位在哪里啊？	肝脏	疾病
请问合肥站的站台数目有多少啊？	9	数字
请问格勒尔斯多夫在2005年有多少人口？	880	数字
请问众泰z500的参考价格是多少？	9-13万	单位
请问龙潭水库的集水面积有多大？	156平方公里	单位
请问旭光村属于哪个乡镇？	撮镇镇	行政区划
请问徐筠现在的职务是？	专家教授	人物
请问薪酬管理印刷次数有几次？	3	数字
请问春蕾是哪种品种类别？	桃树	植物
请问三大自然灾难之谜发生在什么时候？	公元1626年5月30日	日期
请问intel core 2 duo e6700 的制作工艺是什么？	65nm	单位
请问刘长春是什么时候入党的？	1996年4月	日期
请问悉尼足球俱乐部参加了什么联赛？	澳大利亚职业足球联赛	体育赛事
请问巴纳德星温度有多高？	3,134 ± 102k	单位
请问薇甘菊是谁命名的？	kunth, 1820	单位
请问邮政局的局长是谁？	马军胜	人物
请问鸿基9600gt sp48 龙骨少帅版(tc1g)的显存位宽是什么？	128bit	单位
请问东莞宏其纺织染整助剂厂有限公司的经营模式是什么？	私营独资企业	企业
请问方正fp160xw的对比度多少？	500:1	日期
请问鹿豚属于哪个亚纲？	真兽亚纲	动物
请问雪丰钢铁的总资产是多少？	22.46 亿	单位
请问食品中总砷及无机砷的测定是在哪天实施的？	2003-8-11	日期
请问城关镇出过哪个名人？	庄子	文学作品
请问爱国歌是在什么时候被采用的？	1948	数字
请问赵光祖的马-赖式名称是什么？	cho kwangjo	英文名
请问九龙巴士5a线能途径哪里？	尖沙咀码头	地点
请问东海大桥是在什么时候开工的啊？	2002年6月26日	日期
请问去么龙村的交通状况如何？	方便	人物
请问永盂被收藏在哪里？	西安市博物馆	博物馆
请问怎样才能联系到天主教维多利亚教区啊？	http://www.rcav.org/	单位
请问伊芙丽起源于哪里？	elegant i,faith i,natural i	单位
请问win32.vb.za.1097504的威胁级别是什么？	1	数字
请问卢布的其他外文名是什么？	российский рубль 俄文	语言
请问1,8-萘二甲酸酐的cas号是多少？	81-84-5	日期
请问kodakimg.exe这个进程的名称是什么？	kodak imaging	英文名
请问我还活着是在什么时候发行的？	2012年3月7日(pc)	日期
请问和君正德人力资源机构是哪个国家的机构？	中国	历史
请问高田ic的记号是什么？	高田	公司
请问《远大前程》是在什么时候进行首播？	2013年	日期
请问汉斯·亚当二世在位了多长时间？	1989年11月13日至今 （25年89天）	日期
请问脱狱暗夜传说可以在别的什么平台上使用啊？	诺基亚	组织机构
请问星野飞鸟是哪年开始举行的？	2004年(水着)	日期
请问共通通讯vd500的网络类型是什么？	cdma	英文名
请问与宫相关的节目有哪些？	英才的全盛时代	影视作品
请问沉香树大概有多高？	5~18米	单位
请问与关铃相关的文献有哪些？	水浒传	文学作品
请问富莱克阀2850st的工作温度为多少啊？	0.2mpa—0.6mpa	单位
请问阿伯丁的人口密度有多大？	598.0/km² (1548.8/mi²)	单位
请问加油的英文怎么说？	come on	英文名
请问南区属于哪个部门？	北海道 石狩振兴局	地点
请问e-3lue宜博魅影狂蛇gm05-r鼠标 的鼠标接口是什么？	usb	英文名
请问悦富强城的产前年限是多少年？	70	数字
请问感染是一种传染病吗？	是	字词
请问鼎湖紫珠属于哪种系列？	纵裂药系	植物
请问天津市工商业联合会金属材料业商会这个机构属于什么类别？	商会	组织机构
请问itunes是什么许可协议的软件？	免费应用软件	软件
请问龙潭水库的具体位置在哪里？	重庆市酉阳土家族苗族自治县	行政区划
请问恒大名都的装修情况是什么？	精装修	地点
请问htc aria手机的制式是什么？	gsm，wcdma	单位
请问斐讯fs3800-16的应用层级有多高？	二层	语言
请问ntn 6012zz轴承的内径有多大？ 	60	数字
请问项目信息发布的前提是什么？	项目沟通计划	社会学科
请问是谁出版了《食虫植物》啊？	academic press	英文名
请问nec 1530v的动态对比度为多少？	：200:1	日期
请问apples组合的腾讯微博名称是什么？	angela	英文名
请用wrl举一个例子？	#vrml v2.0 utf8	单位
请问芈的部外笔画有多少？	5	数字
请问女孩堆雪人这个游戏是属于什么分类呢？	换装	游戏
请问夜店这部影片名称是什么啊？	夜店	电影
请问遵从三位一体是哪个宗教？	基督教	历史
请问司马懿被封了什么爵位？	舞阳侯	人物
什么赚族网是什么时候创建的？	2007年12月9日	日期
请问三亚水业海景大酒店是什么时候装修的呢？	2005年	日期
请问与全身持续性水肿相关的疾病有哪些啊？	肺水肿 动脉硬化 高血压 肝硬化 肾病综合征 库欣综合征 遗传性血管性水肿 缩窄性心包炎 烧伤 淋巴水肿 小儿营养不良 麻疹 荨麻疹和血管性水肿 梅毒 血管神经性水肿 新生儿水肿 四肢淋巴水肿 小儿营养不良性水肿 急性肾小球肾炎 慢性肾小球肾炎 充血性心力衰竭 高原肺水肿 高原脑水肿 黄斑囊样水肿 妊娠呕吐 小儿肺水肿 小儿遗传性血管神经性水肿 肝炎 溢饮	疾病
请问诺贝尔奖是什么时候设立的？	1900年（庚子年）6月	日期
请问大黄蜂号航空母舰是什么时候开始投入使用的啊？	1941年10月	日期
请问是谁出品了cfgwiz.exe？	symantec corporation	英文名
请问海棠的同伴是谁？	李逍遥	人物
请问腾讯qq的稳定版本是什么？	稳定版本   腾讯qq (6.6)（简体中文，windows） (2014年11月18日（30天前）) [±] qq international (2.11)（multi-language，windows） (2014年1月22日（10个月前）) [±]qq for mac (3.1.2)（简体中文、英文，mac） (2014年5月20日（6个月前）) [±]	日期
请问是在哪个地方制作的《无懈可击之高手如林》啊？	中国大陆	地点
请问是什么时候颁布的“十二五”规划啊？	2011年3月14日	日期
请问流星花园在哪些电视台播出啊？	朝日电视台 传讯电视大地频道、台视、华视、 纬来日本台、三立都会台	公司
请问鼓楼区用汉语怎么拼？	gulou qu	英文名
请问滴滴打车的产品名称是什么？	滴滴打车	软件
请问《鼓·达人》蓝光版发行的地区是哪里？	大陆	电影
请问广德公主姓什么？	朱	人物
请问crsss.exe的进程文件是什么？	crsss 或者 crsss.exe	软件
请问安得拉邦的首府是哪里啊？	海得拉巴	地点
